import time: self [us] | cumulative | imported package
import time:       346 |       7435 |                         urllib3.util.ssl_
import time:       195 |        195 |                         urllib3.util.wait
import time:       263 |      10805 |                       urllib3.util
import time:        32 |      10836 |                     urllib3.util.connection
import time:       649 |      11485 |                   urllib3._base_connection
import time:       636 |        636 |                   urllib3._collections
import time:       166 |        166 |                   urllib3._version
import time:        96 |         96 |                             _winapi
import time:        82 |         82 |                             winreg
import time:       353 |        529 |                           mimetypes
import time:       256 |        785 |                         urllib3.fields
import time:       402 |       1186 |                       urllib3.filepost
import time:        98 |         98 |                         brotlicffi
import time:        83 |         83 |                         brotli
import time:       185 |        185 |                           urllib3.http2
import time:       228 |        228 |                           urllib3.http2.probe
import time:       189 |        189 |                           urllib3.util.ssl_match_hostname
import time:       745 |       1345 |                         urllib3.connection
import time:       102 |        102 |                         backports
import time:       635 |       2261 |                       urllib3.response
import time:       306 |       3752 |                     urllib3._request_methods
import time:       171 |        171 |                     urllib3.util.proxy
import time:       435 |       4358 |                   urllib3.connectionpool
import time:      1039 |       1039 |                   urllib3.poolmanager
import time:       357 |      18920 |                 urllib3
import time:       389 |        389 |                         81d243bd2c585b0f4821__mypyc
import time:      1376 |       1376 |                         charset_normalizer.constant
import time:       253 |        253 |                           _multibytecodec
import time:       419 |        671 |                         charset_normalizer.utils
import time:       363 |        363 |                         charset_normalizer.models
import time:       496 |       3294 |                       charset_normalizer.cd
import time:       225 |        225 |                       _codecs_tw
import time:       223 |        223 |                       _codecs_hk
import time:       305 |        305 |                       _codecs_jp
import time:       216 |        216 |                       _codecs_kr
import time:       219 |        219 |                       _codecs_cn
import time:       207 |        207 |                       _codecs_iso2022
import time:     22574 |      27258 |                     charset_normalizer.api
import time:       203 |        203 |                     charset_normalizer.legacy
import time:       156 |        156 |                     charset_normalizer.version
import time:       118 |        118 |                     simplejson
import time:      2549 |       2549 |                     http.cookiejar
import time:      1427 |       1427 |                     http.cookies
import time:       682 |      32389 |                   requests.compat
import time:       706 |      33095 |                 requests.exceptions
import time:       168 |        168 |                 chardet
import time:       896 |        896 |                       idna.idnadata
import time:       234 |        234 |                       idna.intranges
import time:       790 |       1919 |                     idna.core
import time:       158 |        158 |                     idna.package_data
import time:       370 |       2446 |                   idna
import time:       687 |       3133 |                 requests.packages
import time:       231 |        231 |                       certifi.core
import time:       225 |        456 |                     certifi
import time:       164 |        619 |                   requests.certs
import time:       164 |        164 |                   requests.__version__
import time:       516 |        516 |                   requests._internal_utils
import time:       377 |        377 |                   requests.cookies
import time:       237 |        237 |                   requests.structures
import time:       162 |        162 |                       importlib.resources._itertools
import time:       323 |        485 |                     importlib.resources.readers
import time:       169 |        653 |                   importlib.readers
import time:       669 |       3233 |                 requests.utils
import time:       380 |        380 |                       requests.auth
import time:       377 |        377 |                           stringprep
import time:       295 |        671 |                         encodings.idna
import time:       174 |        174 |                         requests.hooks
import time:       398 |        398 |                         requests.status_codes
import time:       449 |       1690 |                       requests.models
import time:       175 |        175 |                         urllib3.contrib
import time:        99 |         99 |                         socks
import time:       268 |        542 |                       urllib3.contrib.socks
import time:       341 |       2952 |                     requests.adapters
import time:       315 |       3266 |                   requests.sessions
import time:       210 |       3475 |                 requests.api
import time:       437 |      62458 |               requests
import time:       263 |        263 |                     IPython.core
import time:       280 |        543 |                   IPython.core.getipython
import time:       210 |        210 |                   IPython.core.release
import time:       179 |        179 |                               traitlets.utils
import time:       253 |        431 |                             traitlets.utils.bunch
import time:       173 |        173 |                             traitlets.utils.descriptions
import time:       160 |        160 |                             traitlets.utils.getargspec
import time:       162 |        162 |                             traitlets.utils.importstring
import time:       162 |        162 |                             traitlets.utils.sentinel
import time:       165 |        165 |                             traitlets.utils.warnings
import time:      2863 |       4114 |                           traitlets.traitlets
import time:       305 |        305 |                           traitlets._version
import time:       195 |        195 |                           traitlets.utils.decorators
import time:       446 |       5059 |                         traitlets
import time:       465 |        465 |                           pprint
import time:       620 |        620 |                             logging.handlers
import time:       698 |        698 |                             socketserver
import time:      1153 |       2470 |                           logging.config
import time:       172 |        172 |                             traitlets.utils.text
import time:      2129 |       2129 |                                 gettext
import time:      1029 |       3158 |                               argparse
import time:      1058 |       4216 |                             traitlets.config.loader
import time:       717 |       5103 |                           traitlets.config.configurable
import time:       195 |        195 |                           traitlets.utils.nested_update
import time:       992 |       9224 |                         traitlets.config.application
import time:       205 |      14487 |                       traitlets.config
import time:        25 |      14511 |                     traitlets.config.application
import time:      1097 |       1097 |                               html.entities
import time:       458 |       1554 |                             html
import time:       256 |        256 |                                 executing._utils
import time:       373 |        373 |                                   executing._exceptions
import time:       549 |        922 |                                 executing._position_node_finder
import time:       631 |       1808 |                               executing.executing
import time:       181 |        181 |                               executing._pytest_utils
import time:       160 |        160 |                               executing.version
import time:       380 |       2528 |                             executing
import time:       901 |        901 |                                 asttokens.line_numbers
import time:       157 |        157 |                                       astroid
import time:        50 |        206 |                                     astroid.nodes
import time:       704 |        909 |                                   asttokens.util
import time:       331 |       1240 |                                 asttokens.asttokens
import time:       272 |       2411 |                               asttokens
import time:        19 |       2430 |                             asttokens.util
import time:       745 |        745 |                                       _decimal
import time:       289 |       1033 |                                     decimal
import time:      1345 |       1345 |                                     fractions
import time:       602 |       2979 |                                   pure_eval.utils
import time:       214 |       3193 |                                 pure_eval.my_getattr_static
import time:       454 |       3647 |                               pure_eval.core
import time:       198 |        198 |                               pure_eval.version
import time:       303 |       4147 |                             pure_eval
import time:       470 |        470 |                             stack_data.utils
import time:      1442 |      12569 |                           stack_data.core
import time:       357 |        357 |                           stack_data.formatting
import time:       312 |        312 |                           stack_data.serializing
import time:       168 |        168 |                           stack_data.version
import time:       307 |      13710 |                         stack_data
import time:       257 |        257 |                             pygments
import time:       233 |        233 |                             pygments.formatters._mapping
import time:       172 |        172 |                             pygments.plugin
import time:       807 |        807 |                             pygments.util
import time:       311 |       1779 |                           pygments.formatters
import time:       266 |        266 |                               pygments.styles._mapping
import time:       241 |        506 |                             pygments.styles
import time:       191 |        697 |                           pygments.formatter
import time:       187 |        187 |                           pygments.console
import time:       350 |        350 |                             pygments.token
import time:       356 |        705 |                           pygments.style
import time:       315 |       3682 |                         pygments.formatters.terminal256
import time:       277 |        277 |                         IPython.utils
import time:       378 |        378 |                           glob
import time:       441 |        441 |                                 shlex
