import time: self [us] | cumulative | imported package
import time:       366 |        366 |                     importlib.metadata._collections
import time:       234 |        234 |                     importlib.metadata._itertools
import time:       890 |        890 |                           tempfile
import time:       491 |        491 |                           importlib.resources.abc
import time:       423 |        423 |                           importlib.resources._adapters
import time:       614 |       2416 |                         importlib.resources._common
import time:       309 |        309 |                         importlib.resources._legacy
import time:      1320 |       4045 |                       importlib.resources
import time:      1524 |       5568 |                     importlib.abc
import time:      3926 |      44508 |                   importlib.metadata
import time:       635 |        635 |                     email.feedparser
import time:       335 |        970 |                   email.parser
import time:      5630 |      51107 |                 tqdm.version
import time:      1635 |      57462 |               tqdm.cli
import time:       324 |        324 |               tqdm.gui
import time:      7787 |      68002 |             tqdm
import time:     45220 |      45220 |             sglang.lang.ir
import time:      1733 |       1733 |                     _json
import time:       890 |       2623 |                   json.scanner
import time:      1140 |       3763 |                 json.decoder
import time:       947 |        947 |                 json.encoder
import time:      6071 |      10781 |               json
import time:      2091 |       2091 |                   _hashlib
import time:        93 |         93 |                   _blake2
import time:       777 |       2960 |                 hashlib
import time:      3994 |       3994 |                   http
import time:      1208 |       5202 |                 http.client
import time:       669 |        669 |                   urllib.response
import time:       436 |       1104 |                 urllib.error
import time:      3231 |      12496 |               urllib.request
import time:       369 |        369 |                 pybase64._license
import time:       215 |        215 |                 pybase64._version
import time:      1804 |       1804 |                 pybase64._pybase64
import time:      3532 |       5919 |               pybase64
import time:      4655 |       4655 |                   urllib3.exceptions
import time:      1138 |       1138 |                           urllib3.util.timeout
import time:       587 |       1724 |                         urllib3.util.connection
import time:       251 |        251 |                           urllib3.util.util
import time:       125 |        125 |                           brotlicffi
import time:       103 |        103 |                           brotli
import time:        97 |         97 |                           backports
import time:       704 |       1278 |                         urllib3.util.request
import time:       271 |        271 |                         urllib3.util.response
import time:       665 |        665 |                         urllib3.util.retry
import time:       417 |        417 |                           hmac
import time:      8125 |       8125 |                           urllib3.util.url
import time:       409 |        409 |                           urllib3.util.ssltransport
import time:       461 |       9411 |                         urllib3.util.ssl_
import time:       282 |        282 |                         urllib3.util.wait
import time:      2537 |      16164 |                       urllib3.util
import time:        35 |      16198 |                     urllib3.util.connection
import time:       796 |      16994 |                   urllib3._base_connection
import time:       910 |        910 |                   urllib3._collections
import time:       240 |        240 |                   urllib3._version
import time:       100 |        100 |                             _winapi
import time:        84 |         84 |                             winreg
import time:      1210 |       1394 |                           mimetypes
import time:       344 |       1737 |                         urllib3.fields
import time:      1387 |       3123 |                       urllib3.filepost
import time:        99 |         99 |                         brotlicffi
import time:        84 |         84 |                         brotli
import time:      1783 |       1783 |                           urllib3.http2
import time:       370 |        370 |                           urllib3.http2.probe
import time:       460 |        460 |                           urllib3.util.ssl_match_hostname
import time:       935 |       3547 |                         urllib3.connection
import time:       117 |        117 |                         backports
import time:       718 |       4563 |                       urllib3.response
import time:       486 |       8172 |                     urllib3._request_methods
import time:       255 |        255 |                     urllib3.util.proxy
import time:       547 |       8973 |                   urllib3.connectionpool
import time:      1001 |       1001 |                   urllib3.poolmanager
import time:      2605 |      35376 |                 urllib3
import time:      8676 |       8676 |                         81d243bd2c585b0f4821__mypyc
import time:      3040 |       3040 |                         charset_normalizer.constant
import time:       905 |        905 |                           _multibytecodec
import time:      1218 |       2123 |                         charset_normalizer.utils
import time:       868 |        868 |                         charset_normalizer.models
import time:      1737 |      16442 |                       charset_normalizer.cd
import time:      1978 |       1978 |                       _codecs_tw
import time:      2110 |       2110 |                       _codecs_hk
import time:     13340 |      13340 |                       _codecs_jp
import time:     26318 |      26318 |                       _codecs_kr
import time:      2513 |       2513 |                       _codecs_cn
import time:       532 |        532 |                       _codecs_iso2022
import time:     40058 |     103287 |                     charset_normalizer.api
import time:       252 |        252 |                     charset_normalizer.legacy
import time:       194 |        194 |                     charset_normalizer.version
import time:       101 |        101 |                     simplejson
import time:      3459 |       3459 |                     http.cookiejar
import time:      1247 |       1247 |                     http.cookies
import time:      5065 |     113603 |                   requests.compat
import time:      1762 |     115364 |                 requests.exceptions
import time:       106 |        106 |                 chardet
import time:      1649 |       1649 |                       idna.idnadata
import time:      1075 |       1075 |                       idna.intranges
import time:      1000 |       3723 |                     idna.core
import time:       234 |        234 |                     idna.package_data
import time:      3939 |       7895 |                   idna
import time:       754 |       8648 |                 requests.packages
import time:       373 |        373 |                       certifi.core
import time:      2503 |       2876 |                     certifi
import time:       235 |       3111 |                   requests.certs
import time:       235 |        235 |                   requests.__version__
import time:       454 |        454 |                   requests._internal_utils
import time:       455 |        455 |                   requests.cookies
import time:       312 |        312 |                   requests.structures
import time:       412 |        412 |                       importlib.resources._itertools
import time:       831 |       1243 |                     importlib.resources.readers
import time:       252 |       1495 |                   importlib.readers
import time:      1750 |       7809 |                 requests.utils
import time:       393 |        393 |                       requests.auth
import time:       739 |        739 |                           stringprep
import time:       458 |       1197 |                         encodings.idna
import time:       234 |        234 |                         requests.hooks
import time:       464 |        464 |                         requests.status_codes
import time:       589 |       2483 |                       requests.models
import time:      1576 |       1576 |                         urllib3.contrib
import time:       104 |        104 |                         socks
import time:      1295 |       2975 |                       urllib3.contrib.socks
import time:       440 |       6288 |                     requests.adapters
import time:       529 |       6817 |                   requests.sessions
import time:       285 |       7101 |                 requests.api
import time:      4916 |     179318 |               requests
import time:     19768 |      19768 |                     IPython.core
import time:      1868 |      21635 |                   IPython.core.getipython
import time:      1304 |       1304 |                   IPython.core.release
import time:      1722 |       1722 |                               traitlets.utils
import time:       466 |       2187 |                             traitlets.utils.bunch
import time:       311 |        311 |                             traitlets.utils.descriptions
import time:       266 |        266 |                             traitlets.utils.getargspec
import time:       237 |        237 |                             traitlets.utils.importstring
import time:       259 |        259 |                             traitlets.utils.sentinel
import time:       268 |        268 |                             traitlets.utils.warnings
import time:      6758 |      10282 |                           traitlets.traitlets
import time:       413 |        413 |                           traitlets._version
import time:       233 |        233 |                           traitlets.utils.decorators
import time:      2072 |      12999 |                         traitlets
import time:      1895 |       1895 |                           pprint
import time:       757 |        757 |                             logging.handlers
import time:       979 |        979 |                             socketserver
import time:      1652 |       3387 |                           logging.config
import time:       424 |        424 |                             traitlets.utils.text
import time:      2409 |       2409 |                                 gettext
import time:      2255 |       4663 |                               argparse
import time:      1357 |       6020 |                             traitlets.config.loader
import time:      1218 |       7661 |                           traitlets.config.configurable
import time:       518 |        518 |                           traitlets.utils.nested_update
import time:      1229 |      14689 |                         traitlets.config.application
import time:      1132 |      28819 |                       traitlets.config
import time:        28 |      28846 |                     traitlets.config.application
